cluster,approval_date1.0,approval_date2.0,approval_date6.0,approval_date7.0,countercheck_date0.0,countercheck_date4.0,countercheck_date6.0,countercheck_date7.0,read_date1.0,read_date4.0,read_date5.0,read_date6.0,report_date0.0,report_date1.0,report_date2.0,report_date3.0,report_date4.0,report_date5.0,report_date6.0,report_date7.0,"('org:resource', 'join')"
0,,,,,,,6.384615384615385,3.769230769230769,40.15384615384615,,,6.230769230769231,,40.61538461538461,21.153846153846153,,,5.0,6.3076923076923075,3.769230769230769,"BABSA, BREBA, ELKH, JAMU, LBI, MOST, PAW, PEKE, PIRA, RELA, SAR, VEKO, WAB"
1,198.66666666666666,50.666666666666664,24.333333333333332,4.333333333333333,,,,,,,11.333333333333334,2.0,,1.0,,14.0,,,,,"EKM, FRK, LLE"
2,,,,,,,,1.5,11.125,,,,29.0,11.125,13.285714285714286,,,9.8,,1.5,"ANWI, BRPH, EICAN, ERU, HABA, HAKA, TDO, WIA"
3,6.0,6.5,,,7.0,,,,27.0,,,,1.0,,2.5,7.555555555555555,,,,,"AGJ, BOY, CGR, GS, MOP, MTR, MV, NMA, SALRE, UNBBC, UNBEF, UNBGR, UNBTK, UNBVO, UNBWO"
4,25.5,21.4,12.166666666666666,6.666666666666667,53.5,32.166666666666664,7.666666666666667,1.8333333333333333,8.666666666666666,,14.166666666666666,1.5,,,1.0,10.5,,,,,"DOT, FISHJ, HAKI, MART, TD, THOR"
5,12.25,9.333333333333334,4.75,7.333333333333333,17.5,7.5,,1.0,2.0,,13.333333333333334,,,,,5.75,,,,,"FLD, JH, LEB, WR"
6,,,,,,,,,,29.0,,3.5,49.0,,,,24.25,3.0,3.5,,"BRB, HAFA, JAM, WJSFC"
7,,,,,,,3.0,12.0,14.714285714285714,18.77777777777778,,6.555555555555555,27.75,14.625,79.4,,18.333333333333332,24.25,6.777777777777778,9.857142857142858,"ALPE, BINAL, BOD, EGR, FIT, HOM, JOY, KIS, VOLBE"
8,,,,,,,3.7777777777777777,,35.666666666666664,45.0,,3.5454545454545454,106.5,27.625,7.0,1.0,45.0,5.555555555555555,4.0,,"ANPA, BALRU, DENNI, EGH, FIRA, META, OLSC, PESGI, RIJ, VIG, WJS04"
9,60.5,41.5,10.0,12.666666666666666,304.0,65.0,,,,,32.666666666666664,,,,,11.0,,49.0,,,"CHWE, DAK, EPIE, WIR"
10,22.25,48.5,7.0,9.25,168.0,54.333333333333336,,1.0,1.75,,22.0,,,2.5,10.0,20.333333333333332,,12.5,,,"BRV, XYD, YABUE, ZIFE"
11,,,,,,,8.615384615384615,9.384615384615385,14.153846153846153,27.846153846153847,,9.0,107.18181818181819,14.461538461538462,9.076923076923077,1.0,27.846153846153847,9.0,9.23076923076923,9.923076923076923,"BROM, CHD, HOCY, JEK, KMAS, LOLA, MARC, MLAN, NAM, PEV, SCHR, SOR, VOP"
12,,,,,,,,2.0,2.0,11.75,,,20.5,7.0,1.0,,9.5,3.75,,3.0,"BAAL, BEDO, LUPA, WJSBJ"
13,14.5,,,,1.0,8.0,,,1.0,1.0,87.0,,,,,,,,,,"WAR, WES"
14,14.5,63.5,6.5,14.0,103.0,27.0,3.5,3.5,1.0,,15.5,1.5,,1.0,3.5,51.5,,2.5,1.0,4.0,"JCU, JÜGR"
15,9.0,,2.0,3.0,29.0,10.0,1.0,,1.0,,3.0,,,5.0,,,5.0,1.0,,,TAC
16,8.0,3.0,3.0,,,,9.0,,67.0,,7.0,9.5,,66.5,7.5,1.0,,2.0,9.0,,"NESL, URKN"
17,22.77777777777778,19.0,7.9,9.5,52.0,24.25,2.5,,2.0,,6.1,,,,,89.0,,3.0,,,"ENS, ENST, GRJ, HTO, KATAN, LOP, POA, STZ, VO, VOHE"
18,,,,,6.0,32.0,,,,1.0,9.0,,,9.333333333333334,,1.0,,14.5,,,"ALS, GALO, KLB, MPR, SALO, SCHAN, TK"
19,,,,,,,,,,,,,,,,353.0,,,,,UNBJH
